position,corrected_position,name,python_type,c_type,connected,can_id,position,conversion,conversion_str
0,0,IsRaceOn,int,s32,,,,,
4,1,TimestampMS,int,u32,,,,,
8,2,EngineMaxRpm,float,f32,1,0x477,0-1,,
12,3,EngineIdleRpm,float,f32,,,,,
16,4,CurrentEngineRpm,float,f32,1,0x360,0-1,,
20,5,AccelerationX,float,f32,,,,,
24,6,AccelerationY,float,f32,,,,,
28,7,AccelerationZ,float,f32,,,,,
32,8,VelocityX,float,f32,,,,,
36,9,VelocityY,float,f32,,,,,
40,10,VelocityZ,float,f32,,,,,
44,11,AngularVelocityX,float,f32,,,,,
48,12,AngularVelocityY,float,f32,,,,,
52,13,AngularVelocityZ,float,f32,,,,,
56,14,Yaw,float,f32,1,0x474,6-7,,
60,15,Pitch,float,f32,1,0x474,2-3,,
64,16,Roll,float,f32,1,0x474,4-5,,
68,17,NormalizedSuspensionTravelFrontLeft,float,f32,,,,,
72,18,NormalizedSuspensionTravelFrontRight,float,f32,,,,,
76,19,NormalizedSuspensionTravelRearLeft,float,f32,,,,,
80,20,NormalizedSuspensionTravelRearRight,float,f32,,,,,
84,21,TireSlipRatioFrontLeft,float,f32,,,,,
88,22,TireSlipRatioFrontRight,float,f32,,,,,
92,23,TireSlipRatioRearLeft,float,f32,,,,,
96,24,TireSlipRatioRearRight,float,f32,,,,,
100,25,WheelRotationSpeedFrontLeft,float,f32,,,,,
104,26,WheelRotationSpeedFrontRight,float,f32,,,,,
108,27,WheelRotationSpeedRearLeft,float,f32,,,,,
112,28,WheelRotationSpeedRearRight,float,f32,,,,,
116,29,WheelOnRumbleStripFrontLeft,int,s32,,,,,
120,30,WheelOnRumbleStripFrontRight,int,s32,,,,,
124,31,WheelOnRumbleStripRearLeft,int,s32,,,,,
128,32,WheelOnRumbleStripRearRight,int,s32,,,,,
132,33,WheelInPuddleDepthFrontLeft,float,f32,,,,,
136,34,WheelInPuddleDepthFrontRight,float,f32,,,,,
140,35,WheelInPuddleDepthRearLeft,float,f32,,,,,
144,36,WheelInPuddleDepthRearRight,float,f32,,,,,
148,37,SurfaceRumbleFrontLeft,float,f32,,,,,
152,38,SurfaceRumbleFrontRight,float,f32,,,,,
156,39,SurfaceRumbleRearLeft,float,f32,,,,,
160,40,SurfaceRumbleRearRight,float,f32,,,,,
164,41,TireSlipAngleFrontLeft,float,f32,,,,,
168,42,TireSlipAngleFrontRight,float,f32,,,,,
172,43,TireSlipAngleRearLeft,float,f32,,,,,
176,44,TireSlipAngleRearRight,float,f32,,,,,
180,45,TireCombinedSlipFrontLeft,float,f32,,,,,
184,46,TireCombinedSlipFrontRight,float,f32,,,,,
188,47,TireCombinedSlipRearLeft,float,f32,,,,,
192,48,TireCombinedSlipRearRight,float,f32,,,,,
196,49,SuspensionTravelMetersFrontLeft,float,f32,,,,,
200,50,SuspensionTravelMetersFrontRight,float,f32,,,,,
204,51,SuspensionTravelMetersRearLeft,float,f32,,,,,
208,52,SuspensionTravelMetersRearRight,float,f32,,,,,
212,53,CarOrdinal,int,s32,,,,,
216,54,CarClass,int,s32,,,,,
220,55,CarPerformanceIndex,int,s32,,,,,
224,56,DrivetrainType,int,s32,,,,,
228,57,NumCylinders,int,s32,,,,,
232,58,PositionX,float,f32,,,,,
236,59,PositionY,float,f32,,,,,
240,60,PositionZ,float,f32,,,,,
244,61,Speed,float,f32,1,0x370,0-1,3.6,MPS TO KPH
248,62,Power,float,f32,,,,,
252,63,Torque,float,f32,,,,,
256,64,TireTempFrontLeft,float,f32,1,0x6F1,0-1,,
260,65,TireTempFrontRight,float,f32,1,0x6F1,2-3,,
264,66,TireTempRearLeft,float,f32,1,0x6F1,4-5,,
268,67,TireTempRearRight,float,f32,1,0x6F1,6-7,,
272,68,Boost,float,f32,,,,,
276,69,Fuel,float,f32,1,0x3E2,0-1,100,Convert Dec to %
280,70,DistanceTraveled,float,f32,,,,,
284,71,BestLap,float,f32,,,,,
288,72,LastLap,float,f32,,,,,
292,73,CurrentLap,float,f32,,,,,
296,74,CurrentRaceTime,float,f32,,,,,
300,75,LapNumber,int,u16,,,,,
302,76,RacePosition,int,u8,,,,,
303,77,Accel,int,u8,1,0x471,2-3,0.392156862745098,/255 to %
304,78,Brake,int,u8,,,,,
305,79,Clutch,int,u8,,,,,
306,80,HandBrake,int,u8,,,,,
307,81,Gear,int,u8,1,0x470,1,,
308,82,Steer,int,s8,,,,,
309,83,NormalizedDrivingLine,int,s8,,,,,
310,84,NormalizedAIBrakeDifference,int,s8,,,,,